Current (uA),Potential (V)
3050,0.003
3050,0.004
3050,0.005
3050,0.006
3050,0.007
3050,0.008
3050,0.009
3050,0.01
3050,0.011
3050,0.012
3050,0.013
3050,0.014
3050,0.015
3050,0.016
3050,0.017
3050,0.018
3050,0.019
3050,0.02
3050,0.021
3050,0.022
3050,0.023
3050,0.024
3050,0.025
3050,0.026
3050,0.027
3050,0.028
3050,0.029
3050,0.03
3050,0.031
3050,0.032
3050,0.033
3050,0.034
3050,0.035
3050,0.036
3050,0.037
3050,0.038
3050,0.039
3050,0.04
3050,0.041
3050,0.042
3050,0.043
3050,0.044
3050,0.045
3050,0.046
3050,0.047
2805,0.048
2379.166748,0.049
1932.5,0.05
1716.666626,0.051
1673.333374,0.052
1644.166626,0.053
1624.166626,0.054
1609.166626,0.055
1596.666626,0.056
1585,0.057
