Current (uA),Potential (V)
444.166656,-0.3
464.166656,-0.299
480,-0.298
489.166656,-0.297
492.5,-0.296
488.333344,-0.295
483.333344,-0.294
486.666656,-0.293
498.333344,-0.292
517.5,-0.291
533.333313,-0.29
548.333313,-0.289
565.833313,-0.288
581.666687,-0.287
597.5,-0.286
608.333313,-0.285
615.833313,-0.284
620,-0.283
620.833313,-0.282
625,-0.281
629.166687,-0.28
636.666687,-0.279
646.666687,-0.278
640,-0.277
653.333313,-0.276
660.833313,-0.275
689.166687,-0.274
696.666687,-0.273
711.666687,-0.272
730,-0.271
754.166687,-0.27
770,-0.269
783.333313,-0.268
797.5,-0.267
818.333313,-0.266
838.333313,-0.265
854.166687,-0.264
869.166687,-0.263
881.666687,-0.262
894.166687,-0.261
905,-0.26
922.5,-0.259
943.333313,-0.258
966.666687,-0.257
984.166687,-0.256
998.333313,-0.255
1010,-0.254
1024.166626,-0.253
1040.833374,-0.252
1055.833374,-0.251
1071.666626,-0.25
1083.333374,-0.249
1098.333374,-0.248
1110.833374,-0.247
1128.333374,-0.246
1143.333374,-0.245
1158.333374,-0.244
1169.166626,-0.243
1182.5,-0.242
1197.5,-0.241
